embed_size,hidden_size,learning_rate,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
8,32,0.003,0.3,12,010962938096209629,568005484198.7269,5.030814519862535e-8,1987.9531946486395
8,32,0.003,0.3,62,013099876034546765,452050855885.7077,2.8851932840751613e-8,0.00005587131666656872
8,32,0.003,0.3,25,02760385727006809,403767585651.69073,2.9334521254334884e-8,0.00001179699972932357
8,32,0.003,0.3,51,09503632813650353,689037671237.9752,6.66969934719885e-8,1987.5487962241878
8,32,0.003,0.3,47,10838253580118651,364754840448.7338,2.6760881286905553e-8,0.000019622665302097447
8,32,0.003,0.3,37,11243000745426934,645564722631.1573,6.369041892857893e-8,1990.6220433231479
8,32,0.003,0.3,8,1461972534049819,535902620632.98706,2.9369089602507785e-8,0.00002373468069928102
8,32,0.003,0.3,53,15032782217391705,713672487907.9845,6.585856792095857e-8,1987.0170418418402
8,32,0.003,0.3,16,15286841285749542,416930915102.9445,2.956843236701093e-8,0.000027034228160602793
8,32,0.003,0.3,26,15473807194924039,733564395808.264,5.939996626978167e-8,1985.0938388295833
8,32,0.003,0.3,55,16645208021136104,701096227224.2272,7.185278792797944e-8,1985.9785099457913
8,32,0.003,0.3,11,1683646186648431,653231521239.8268,6.56906053884027e-8,1986.6880479724118
8,32,0.003,0.3,41,19284957192325847,639464140123.4314,5.268296820310811e-8,1987.882170883411
8,32,0.003,0.3,0,20795768534652448,706439072583.7723,6.686139551970615e-8,1989.522060479895
8,32,0.003,0.3,14,2455006186169788,656505098673.2042,6.316306299162094e-8,1983.994715952473
8,32,0.003,0.3,61,26710055183394266,679515274073.6758,6.084039626692389e-8,1986.738756711491
8,32,0.003,0.3,60,2892057911846192,529548017553.9426,5.420315195898846e-8,1986.1958130613039
8,32,0.003,0.3,10,29121114877166354,705976146189.0835,3.7077444444120806e-8,1988.8187918050203
8,32,0.003,0.3,7,30992731306976373,712601106168.8376,4.899077276533052e-8,1987.5469374034535
8,32,0.003,0.3,44,3511815371173178,499082873197.6273,4.722069001893803e-8,1986.7096547946344
8,32,0.003,0.3,58,35546144858107864,645857421798.3602,6.459993272493912e-8,1987.914163319579
8,32,0.003,0.3,45,3620404566908989,555893558006.6373,2.6972650999724506e-8,0.000644002578448852
8,32,0.003,0.3,1,3741776944919286,472994288482.03143,4.707195765947104e-8,1986.1462320386709
8,32,0.003,0.3,3,39761501169199365,537685504465.7961,2.9569908297426252e-8,0.0000035970895936207893
8,32,0.003,0.3,38,39930224425239447,700224624521.3695,6.787491700796397e-8,1988.9941355171864
8,32,0.003,0.3,43,40927403651996486,778459391255.3212,6.299366627259993e-8,1984.3564721794153
8,32,0.003,0.3,31,4107816983678335,659526641003.2664,6.67161425991586e-8,1982.9609057087284
8,32,0.003,0.3,28,4518847470351425,509732341327.64386,5.263694146475726e-8,1986.7718464152895
