embed_size,hidden_size,learning_rate,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
32,64,0.001,0.1,27,2023-05-11-13h08m31s992792654623176,1491180899202.1143,2.0485163343330254e-8,7.200737051003619e-8
32,64,0.001,0.1,2,2023-05-11-13h08m34s31416885098792113,6084673847245.607,1.8713760097031685e-8,6.438770827566773e-8
32,64,0.001,0.1,8,2023-05-11-13h08m37s5708894653982888,7321621431456.524,6.960440224097404e-8,37655.98848100813
32,64,0.001,0.1,17,2023-05-11-13h08m59s4822500660122212,3078811670608.5366,2.0631306218904514e-8,7.77588169399329e-8
32,64,0.001,0.1,1,2023-05-11-13h09m10s4307270044468773,36291856163.20768,1.9642559800850204e-8,6.016185349868303e-8
32,64,0.001,0.1,14,2023-05-11-13h09m10s9830023421095618,4717211853996.89,1.5124379304437566e-8,5.9069370727630144e-8
32,64,0.001,0.1,0,2023-05-11-13h09m11s0646504326815659,5960761377064.747,1.6325303775423514e-8,5.7407783859633966e-8
32,64,0.001,0.1,20,2023-05-11-13h09m14s011406536247403398,3951873766281.6245,1.6351145770647763e-8,5.5985555524422803e-8
32,64,0.001,0.1,29,2023-05-11-13h09m19s13724189000176312,5708446551055.056,1.858975329221516e-8,5.97333049686399e-8
32,64,0.001,0.1,25,2023-05-11-13h09m50s47399523377490826,998188812512.5157,1.5496247174295013e-8,4.865679747976248e-8
32,64,0.001,0.1,10,2023-05-11-13h09m51s1812516489426994,879727258858.7926,2.0055881177966505e-8,6.594980095318735e-8
32,64,0.001,0.1,5,2023-05-11-13h09m53s9711921411801487,1636246552905.167,1.6311949568800565e-8,5.531457181148154e-8
32,64,0.001,0.1,21,2023-05-11-13h09m55s5952713478309258,63108753608.35792,1.843935204520661e-8,5.448101592061872e-8
32,64,0.001,0.1,23,2023-05-11-13h09m55s6937331207044092,8657477313963.611,1.6720890672000847e-8,8.073793366963787e-8
32,64,0.001,0.1,4,2023-05-11-13h09m59s053199691727503495,453326389240.24146,2.50173053383155e-8,8.909940984904793e-8
32,64,0.001,0.1,7,2023-05-11-13h10m00s0908885532143674,4370833975413.299,1.8654164435297328e-8,6.472410207742328e-8
32,64,0.001,0.1,19,2023-05-11-13h10m02s1980480154756501,6564958222382.894,1.698401508315694e-8,5.72325020705415e-8
32,64,0.001,0.1,24,2023-05-11-13h10m02s6825247136985283,174300004.91342396,1.7568517973683717e-8,5.0297263687132534e-8
32,64,0.001,0.1,15,2023-05-11-13h10m03s518935915129692,286549675137.3401,1.736722143869639e-8,5.031717087412157e-8
32,64,0.001,0.1,16,2023-05-11-13h10m05s2670781273074013,6309745825454.488,1.774282742943996e-8,5.979584694011645e-8
32,64,0.001,0.1,13,2023-05-11-13h10m05s32313746233196927,607927590.6871352,1.6106892708424646e-8,4.6573222611645735e-8
32,64,0.001,0.1,18,2023-05-11-13h10m06s7002871537647768,8271246753382.011,6.609026037465181e-8,42274.14096889153
32,64,0.001,0.1,3,2023-05-11-13h10m09s6592921096854751,7081821371311.262,1.6507416766787534e-8,6.34037387031171e-8
32,64,0.001,0.1,28,2023-05-11-13h10m10s8969136032906894,5098060795934.81,1.6575099293032255e-8,6.339586122661269e-8
32,64,0.001,0.1,9,2023-05-11-13h10m12s4862235896679864,299910337101.49054,1.8078125885107533e-8,5.543599179670453e-8
32,64,0.001,0.1,12,2023-05-11-13h10m12s9984425246760177,173305.9461277557,1.855066766855964e-8,5.0837053011487124e-8
32,64,0.001,0.1,11,2023-05-11-13h10m16s4023725397032474,6691893766494.092,1.4295191030849517e-8,6.697091969770294e-8
32,64,0.001,0.1,22,2023-05-11-13h10m16s8965655938368511,4702152488407.579,2.9781939802982792e-8,1.3714823454097044e-7
32,64,0.001,0.1,6,2023-05-11-13h10m17s8647058862506062,2974231272262.0234,2.2104285957076846e-8,7.485735542477563e-8
32,64,0.001,0.1,26,2023-05-11-13h10m18s15604240096387723,12096551551.90972,1.668882743106104e-8,5.1165480518838944e-8
