embed_size,hidden_size,learning_rate,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
32,64,0.01,3,0,2023-05-10-17h52m33s5072266147260974,3.430262553202152,132.39561481763297,353.61050277709546
16,64,0.01,0.1,0,2023-05-10-17h52m54s3038564033509117,27.910337946758894,1.841766672500515e-8,5.0591416833426825e-8
16,128,0.003,3,0,2023-05-10-17h52m54s7905067188723357,2.8777773206582036,3445.917893815771,8403.467906254122
16,128,0.01,0.3,0,2023-05-10-17h52m56s424899463782876,21.873633758584024,6.304887700760435e-8,1.6599757346308063e-7
16,64,0.01,0.3,0,2023-05-10-17h52m56s4427657289991017,72955.04653356064,8.301816821060044e-7,0.00002002058235642977
8,64,0.003,1,0,2023-05-10-17h53m03s3771177459652977,2.784781050158547,3.1391951050776523,8.563570370514869
32,64,0.003,3,0,2023-05-10-17h53m04s7376673424404687,3.4892137147845816,726.0940806200599,1893.065373030953
16,128,0.003,1,0,2023-05-10-17h53m08s4947793954379226,5.1670978453942,5.059802207933115e-7,0.0000014407254221519176
16,64,0.01,0.03,0,2023-05-10-17h53m09s6722141842855234,26182.420954745307,4.312477042127867e-9,1.5884512372089096e-8
16,128,0.001,1,0,2023-05-10-17h53m10s2632529661721126,5.407981045611134,0.0000010599247224906287,0.000003111562914825204
8,256,0.01,1,0,2023-05-10-17h53m18s9429692809822402,2.7754823736111853,3.6418887009438508,9.952059019998465
8,64,0.001,0.03,0,2023-05-10-17h53m32s21442940444826963,64.29238418287082,6.446336131546927e-9,1.95700931015789e-8
64,64,0.01,0.3,0,2023-05-10-17h53m32s31445854326265354,18915601.724635433,5.7782710393773086e-8,1.5653213303164938e-7
8,256,0.003,1,0,2023-05-10-17h53m34s43976168411051086,3.2627463987678236,0.0000027243576004729777,0.000008210675367133708
16,64,0.001,0.03,0,2023-05-10-17h53m38s36267792101394136,5032.52289322972,4.5013868188376365e-9,1.5175948053760817e-8
16,64,0.0003,0.03,0,2023-05-10-17h53m39s16238493024807077,18830.726090198597,5.9504681182322525e-9,1.9007698526222028e-8
32,128,0.003,3,0,2023-05-10-17h53m41s6622073385694228,4.467584164684326,0.38698379078832496,1.082733301693649
8,128,0.0003,0.03,0,2023-05-10-17h53m43s5325313468126697,4395866.794375668,5.30349497650645e-9,1.7716686784277777e-8
8,64,0.0003,0.1,0,2023-05-10-17h53m44s20382278737373893,23165.20938681476,2.433829471267134e-8,7.881525299016076e-8
8,64,0.0003,1,0,2023-05-10-17h53m44s35880445810428385,2.8012690613311753,0.8762275954350711,2.431836215391408
16,64,0.001,0.1,0,2023-05-10-17h53m45s7366469961985598,747.9255719768662,1.558864393117817e-8,4.3662814252916625e-8
8,128,0.01,0.03,0,2023-05-10-17h53m46s7297350193114168,9380.922030705817,6.6004102183697404e-9,1.9412025320497084e-8
8,128,0.0003,3,0,2023-05-10-17h53m47s9609651501372466,2.433842856629348,10362.84810077702,24404.406446166446
32,128,0.01,0.3,0,2023-05-10-17h53m50s27414035979951845,1917.208885908813,6.466592306018981e-8,1.7513435679279587e-7
16,128,0.0003,1,0,2023-05-10-17h53m53s7846001748813769,4.442311455199041,0.0000013708986358908598,0.000004045198320695591
64,64,0.003,0.03,0,2023-05-10-17h53m55s7562078128986057,69902607032073.92,4.8884096770460825e-9,1.6695834270626308e-8
16,512,0.01,1,0,2023-05-10-17h54m00s2041781111916201,18.378598026104484,3.613045580319327e-7,0.0000010007179164738298
8,64,0.001,3,0,2023-05-10-17h54m03s2884004615662207,2.4907944080765554,12431.89465531444,29342.496636102886
8,128,0.0001,1,0,2023-05-10-17h54m04s5236340470081424,3.4094006144247557,0.0004539624613177967,0.0015450327076064335
8,64,0.003,0.3,0,2023-05-10-17h54m05s011162449029799015,3.991632315814922,1.2464064691238657e-7,3.1957441825503774e-7
8,128,0.0001,0.3,0,2023-05-10-17h54m05s2562565436795433,28669519.474813674,7.657179134847233e-8,4.052922548559119e-7
16,64,0.0001,0.03,0,2023-05-10-17h54m05s41674734675129965,250606.2970874582,4.566031108756704e-9,5.500437638352245e-8
8,256,0.0003,3,0,2023-05-10-17h54m06s43359475917704826,2.487242828633592,8949.419953651231,21110.10361548023
32,128,0.0003,1,0,2023-05-10-17h54m07s4977114876189176,2384712174.6972413,3.0873437138839866e-7,8.80113173404864e-7
32,64,0.0003,1,0,2023-05-10-17h54m07s8850816459428934,90.91401707980961,3.4369389088315896e-7,0.000001294095455727601
8,128,0.01,1,1,2023-05-10-17h54m12s006353311822510199,3.139277187188011,1063.89093635994,3292.2926965110973
128,64,0.01,0.1,0,2023-05-10-17h54m13s08874941410374482,13946704510123.908,1.4601977849045172e-8,4.161696720557356e-8
32,128,0.001,0.03,0,2023-05-10-17h54m14s6954776608360715,26347706776955.46,4.23904511492577e-9,1.2740412946841201e-8
8,128,0.01,3,0,2023-05-10-17h54m16s7653250624144002,2.3891442078382177,8346.559458046817,19822.95404045874
64,64,0.001,0.1,0,2023-05-10-17h54m17s8414406978128467,17852283038413.027,1.669715055102899e-8,5.203958597349037e-8
32,128,0.0003,0.03,0,2023-05-10-17h54m18s17678294870258005,59553012841351.31,1.022178719443126e-8,42273.591006237766
32,128,0.0003,3,0,2023-05-10-17h54m19s4404400483218963,3.7932906669334496,284.11814446534913,754.4331650026071
8,512,0.001,3,0,2023-05-10-17h54m20s5861727487150159,2.521312863893564,7550.117271908007,17855.11878074922
16,64,0.003,0.1,0,2023-05-10-17h54m20s832787626915662,35584398291.9818,2.0374998132958313e-8,8.231018955261811e-8
64,64,0.0003,1,0,2023-05-10-17h54m21s03163325195230382,183820016326.74716,0.00000494511752456271,42285.13567294326
128,64,0.003,0.03,0,2023-05-10-17h54m22s5176972910279947,60670149408819.43,4.562716870987692e-9,5.066153341086816e-8
8,512,0.01,0.1,0,2023-05-10-17h54m23s011537796214326157,3.4393220747406636,2.1325444521317283e-8,5.482506693059226e-8
64,128,0.003,0.03,0,2023-05-10-17h54m23s2510724796101952,45213123697180.95,4.696784516862451e-9,1.6378239431313726e-8
8,64,0.003,3,0,2023-05-10-17h54m23s4272861707398321,2.4337581304460065,11726.340077838184,27545.093645102104
8,128,0.003,1,0,2023-05-10-17h54m24s020261432239180976,3.174408369901124,0.00000292735878783654,0.00000846594199986182
64,64,0.0003,3,0,2023-05-10-17h54m24s30463830841677764,9.33665668573328,0.00016047983020271202,0.0005986711492996259
16,256,0.001,3,0,2023-05-10-17h54m24s8582585092830296,2.961767407333282,3267.014906241383,8607.080962113656
32,64,0.01,0.3,0,2023-05-10-17h54m25s9013823593931632,627.2313977710832,8.716800148245629e-8,2.441598676532801e-7
8,128,0.001,3,0,2023-05-10-17h54m26s19696115970370387,2.463665253379105,10337.249003090543,24324.9308355683
8,128,0.0001,0.03,0,2023-05-10-17h54m27s8068200214495246,72.26558670242125,5.978943118367535e-9,2.249886432710502e-8
8,64,0.01,0.3,1,2023-05-10-17h54m28s27031728342895256,2.912598022929126,82.24331481285608,216.31460136062339
16,256,0.0003,0.3,0,2023-05-10-17h54m28s8017034470263108,9777.504092954958,6.365644034056274e-8,1.7164212539988404e-7
8,64,0.001,1,0,2023-05-10-17h54m32s36540965792035285,2.625185697910614,10.067713294534503,24.918999910711932
8,64,0.01,3,0,2023-05-10-17h54m32s5885965018309897,2.443979175070136,11296.53860267033,26717.386232947534
64,128,0.01,3,0,2023-05-10-17h54m35s19668797425507645,25.480117621320066,0.0000037604010838860247,0.00001371318027407991
8,64,0.003,0.1,1,2023-05-10-17h54m35s30082724748184353,37.9218194889907,2.854839609135026e-8,1.0697946706080185e-7
64,128,0.003,3,0,2023-05-10-17h54m36s6425280915013969,37.46293139734678,0.0000031551766632104708,0.000011366727627108857
8,128,0.001,0.3,0,2023-05-10-17h54m38s8439354118342344,4.528388082822483,1.0120780702212338e-7,2.67615164913099e-7
32,128,0.0001,0.03,0,2023-05-10-17h54m39s10959172828515729,64519661369321.875,1.9375766324648134e-8,42269.26213365624
8,128,0.01,0.03,1,2023-05-10-17h54m42s08338328992994859,6.422227766058722,7.701952187121482e-9,2.326861614495671e-8
8,128,0.003,1,1,2023-05-10-17h54m42s8194007897782716,2.6194030106160175,119.37654695152865,309.189415418713
16,128,0.0003,3,0,2023-05-10-17h54m42s9424080788851393,2.618192658851824,7312.667574198069,18311.44161952992
16,128,0.0003,0.03,0,2023-05-10-17h54m43s7059250772507427,12058351705.645683,3.553605187884359e-9,1.3059670456159853e-8
16,128,0.0001,0.3,0,2023-05-10-17h54m44s2547665241370397,10813432.483541192,6.876803126806131e-8,2.0648411002992198e-7
128,64,0.01,0.03,0,2023-05-10-17h54m44s3047332473763331,50403902675953.76,4.1904228975623324e-9,1.1635213015270804e-8
8,64,0.001,0.3,1,2023-05-10-17h54m46s09031993018901252,442.6376436336097,8.662568296764056e-7,0.000006913982374638521
8,128,0.01,0.1,1,2023-05-10-17h54m47s007201403938176587,3.839829657230338,2.4074937820990468e-8,6.46024582715363e-8
64,128,0.001,0.03,0,2023-05-10-17h54m47s6210187255762143,48402492483720.35,1.4984146590146513e-8,42302.71507257016
32,128,0.0001,3,0,2023-05-10-17h54m49s2620210138239438,3.49027466480988,62.62923462920185,172.63674473744058
32,256,0.003,1,0,2023-05-10-17h54m49s3006426595864051,8988.05258292596,2.932579330366909e-7,8.27748476832287e-7
32,128,0.0003,0.1,0,2023-05-10-17h54m49s8039058154057118,16415702564539.54,1.8370001075774746e-8,0.000008191125191696233
8,64,0.01,0.1,1,2023-05-10-17h54m51s3706169324348215,211.9703732747396,0.0009594517903850302,0.0037969953803777866
16,256,0.003,0.03,0,2023-05-10-17h54m51s7562524174775717,7958845573562.384,5.65351543357468e-9,1.491865164736432e-8
32,64,0.003,3,1,2023-05-10-17h54m53s4005002413358095,3.693995706298669,855.1732479410201,2173.073925133838
8,128,0.01,1,0,2023-05-10-17h54m53s776650138050897,2.598159342722856,12.83806339530327,32.75382411277594
8,128,0.003,0.3,1,2023-05-10-17h54m54s2962487459366109,806.3957774969332,7.006215296695776e-8,2.8563743812866566e-7
128,64,0.003,1,0,2023-05-10-17h54m55s31131850910955094,407917414711.32513,2.175667264052235e-7,6.530161742116223e-7
64,64,0.01,3,0,2023-05-10-17h54m55s9873767311232825,16.62668385126839,0.00043119980674214786,0.0013066982743990259
32,512,0.01,3,0,2023-05-10-17h54m56s2220080128692954,16.69419384073347,0.000004891244390777375,0.000017721897400065227
64,64,0.0001,0.1,0,2023-05-10-17h54m56s6275917326564391,20102888981188.52,8.679992746657596e-8,42278.47051621221
8,64,0.001,0.1,1,2023-05-10-17h54m58s7910477777882283,15.268238964648043,3.972527262655493e-8,1.2324923526070231e-7
16,128,0.003,0.3,0,2023-05-10-17h54m58s9871108597601147,77.78771423623915,6.269263708112648e-8,1.6436269189965444e-7
64,64,0.01,1,1,2023-05-10-17h55m00s7428876778311561,511.18754894604155,2.8495568814415215e-7,9.706124647661472e-7
8,128,0.001,0.03,1,2023-05-10-17h55m02s007539559968815057,80.78083313905991,7.207557217711833e-9,2.346413441319663e-8
8,256,0.003,0.3,1,2023-05-10-17h55m02s6474044722087147,3.3496077763874563,1.4301663186753808e-7,3.8112324939451364e-7
32,64,0.003,0.1,1,2023-05-10-17h55m02s9655719966058,1104357120844.1145,2.694541634251993e-8,7.694950832041827e-8
32,256,0.01,0.3,0,2023-05-10-17h55m03s48532039336253263,599307.9520848433,4.834472133698583e-8,1.3355027461587018e-7
8,256,0.003,0.1,1,2023-05-10-17h55m03s5652178313437624,1664967.067634652,1.323767473408761e-8,5.691986171261179e-8
32,256,0.01,0.1,0,2023-05-10-17h55m04s36231190146659864,155716152561.28616,1.497680979231326e-8,4.5683617999484076e-8
8,512,0.0003,3,0,2023-05-10-17h55m06s028002886869372134,2.4977659718468255,3603.381230352811,8577.318037011231
16,64,0.001,1,1,2023-05-10-17h55m06s6048817034194878,91.40327244582565,0.000003591528231788103,0.00002733583755984422
16,64,0.0003,3,0,2023-05-10-17h55m06s9194256186100893,2.617865430303708,8921.339876183847,21399.567940794106
32,128,0.003,1,0,2023-05-10-17h55m07s6106856419576997,343.6484828603754,2.9231557462290284e-7,8.632272012292965e-7
8,64,0.01,0.03,0,2023-05-10-17h55m07s7291012918238561,5.0236408532125685,6.835575883092327e-9,1.949787731267724e-8
128,64,0.001,0.03,0,2023-05-10-17h55m08s14269212197931347,64304219922354.69,2.039309476835934e-8,42320.228135550235
64,64,0.01,0.03,1,2023-05-10-17h55m08s2307723577305797,73075689205841.83,4.543685649946012e-9,1.2219967260296589e-8
128,128,0.003,1,0,2023-05-10-17h55m08s5420753161140779,7566102.286580238,1.9462115873912997e-7,6.099803486522429e-7
16,128,0.01,1,0,2023-05-10-17h55m09s40293457112769837,4.938457588989632,4.794433372187804e-7,0.000001332698337121704
128,64,0.0003,1,0,2023-05-10-17h55m09s49076857174493005,525022085400.6754,2.1558724293903744e-7,6.725711367479243e-7
64,64,0.003,0.3,1,2023-05-10-17h55m10s22714301117261515,1441545641078.8975,5.948764902843207e-8,1.6740139985100582e-7
16,512,0.01,0.1,0,2023-05-10-17h55m11s18316782527836184,51540.576872955084,2.30764869434782e-8,6.176989186790212e-8
8,128,0.0003,0.1,0,2023-05-10-17h55m11s852112671540392,509.8825161440925,4.4474116832927045e-8,1.7366659554482898e-7
8,256,0.01,0.03,1,2023-05-10-17h55m12s08621892501802764,4.318859839833611,5.216636900224904e-9,1.584758035908743e-8
16,256,0.0001,1,0,2023-05-10-17h55m12s4645251582748785,286.11152877876873,3.8376363862104186e-7,0.0000011828272487280698
16,256,0.003,0.3,1,2023-05-10-17h55m12s8782417987811164,1769.3528691933054,8.357485103874912e-8,2.2585366465623658e-7
16,64,0.001,0.1,1,2023-05-10-17h55m12s9051567795324899,108.26616633304671,5.048068740757087e-8,1.8020199532229574e-7
64,256,0.003,3,0,2023-05-10-17h55m12s9453460465758976,123.24796150979203,0.00000205824627365112,0.000007622246560132921
32,128,0.003,0.1,0,2023-05-10-17h55m13s3021844599448884,3256619385076.8516,1.521647408071836e-8,4.2754266349360406e-8
16,128,0.001,0.1,1,2023-05-10-17h55m13s3766417315227588,44.888330279977424,2.4238746121222367e-8,7.180636951678227e-8
128,128,0.003,0.3,0,2023-05-10-17h55m14s8825888480553122,2203264982043.0933,4.707819578588529e-8,1.3210789995167263e-7
32,128,0.003,0.03,0,2023-05-10-17h55m14s9411248462241557,9543393962669.168,4.064364844677936e-9,1.1024759327674676e-8
128,128,0.001,1,0,2023-05-10-17h55m15s4667064109322592,346680340266.54663,1.833362184243096e-7,5.238529749818597e-7
32,128,0.003,1,1,2023-05-10-17h55m16s3384118630689966,89.71552474990742,3.3255671193066325e-7,0.0000010212291032166897
16,256,0.01,0.03,0,2023-05-10-17h55m18s17468055691048945,817851.1797010006,7.519750377927513e-9,2.0744957751591714e-8
32,256,0.0001,0.1,0,2023-05-10-17h55m18s4413720818904828,11506563267556.047,5.225078836226385e-8,42273.38948720357
64,128,0.0003,0.03,0,2023-05-10-17h55m19s432426550076063,49125327711285.516,1.651961456512883e-8,42293.42110415705
8,128,0.003,3,0,2023-05-10-17h55m20s25163428549303946,2.4862049775191775,10268.13148000864,24213.18298010097
16,128,0.0003,0.3,0,2023-05-10-17h55m20s6946230244804465,218.70989449215313,9.775805631461494e-8,2.832341499063017e-7
32,64,0.01,0.03,0,2023-05-10-17h55m22s4176559992151868,20070351917.676193,6.6737553261401734e-9,1.9420889341117168e-8
16,128,0.001,0.3,1,2023-05-10-17h55m22s9839343518821498,55.590514715786746,5.433246830169681e-8,1.5245324935659828e-7
16,256,0.003,0.1,1,2023-05-10-17h55m24s0019098325787234582,5032720803478.628,2.0962932056830182e-8,5.524906243596886e-8
8,256,0.003,1,1,2023-05-10-17h55m25s037167572509842484,2.862366581112034,27.549176748322587,72.5888622739218
16,128,0.001,3,0,2023-05-10-17h55m25s23208016600240877,2.7382170264275527,7529.851816909826,18228.93615255342
32,128,0.01,0.03,0,2023-05-10-17h55m25s9367125677178593,46557447432988.41,4.324262947716477e-9,1.1657122600530363e-8
8,64,0.01,1,0,2023-05-10-17h55m27s20286754801835394,2.6979308116549223,0.6958817985984095,1.7972539687337825
32,128,0.001,1,0,2023-05-10-17h55m27s6026240193299247,198.8528832598441,2.9639484620994455e-7,8.361742546835282e-7
16,128,0.0003,0.1,0,2023-05-10-17h55m29s3119227833424476,641848142.1062559,1.59956037303661e-8,4.8323085976990135e-8
16,256,0.003,0.1,0,2023-05-10-17h55m30s47094189712148804,33377230.067987014,1.7401043494952256e-8,5.135652236794181e-8
64,256,0.0003,0.1,0,2023-05-10-17h55m30s5335265322158356,10004234293801.113,4.538824960291187e-8,42288.77617309117
16,64,0.003,3,0,2023-05-10-17h55m30s9022800971151426,2.564745210074954,8834.425856967922,21178.830506062925
16,256,0.0003,0.03,0,2023-05-10-17h55m31s6397822110942851,397794330493.6086,4.7194126384590545e-9,1.3640103491129868e-8
32,256,0.01,3,1,2023-05-10-17h55m32s8398175141438281,9.869180030657455,0.000011471672453349117,0.000041084871126675394
8,256,0.001,0.1,1,2023-05-10-17h55m33s09839900159229287,26.56697548794255,1.7060928225669608e-8,5.8225724908017665e-8
16,64,0.001,1,0,2023-05-10-17h55m34s16780893686162057,5.0359959457939025,6.794642452432641e-7,0.0000019225284606203124
16,64,0.001,0.3,0,2023-05-10-17h55m34s9700137597040874,7.987530875069315,9.523772348368755e-8,2.5799960589741304e-7
8,256,0.003,3,1,2023-05-10-17h55m35s1914504064576339,2.5246894315601525,8826.078715468637,21053.630903044497
64,64,0.01,1,0,2023-05-10-17h55m35s6173284756220572,6055.373687129707,2.971841093075503e-7,9.140841052321106e-7
16,64,0.001,0.3,1,2023-05-10-17h55m35s8552405209837178,405.5557130042041,9.905345965524877e-8,2.859470706821749e-7
64,64,0.001,0.03,1,2023-05-10-17h55m35s9937996785867211,72653998088791.72,1.2370497515206965e-8,42294.70121897795
32,256,0.001,1,0,2023-05-10-17h55m36s2218274735202418,351523843.96740663,2.60196363556856e-7,8.417366645478223e-7
8,64,0.001,0.3,0,2023-05-10-17h55m36s8535710608696304,40.62308533747761,49.58181769787559,1703.7089156678699
128,64,0.003,0.3,0,2023-05-10-17h55m38s04079412228802093,2950062030106.6484,4.689279564616343e-8,1.321766169834998e-7
64,128,0.01,0.1,0,2023-05-10-17h55m39s07707092985083841,8741619346253.521,1.5434140854220713e-8,4.167277412026682e-8
8,512,0.001,1,0,2023-05-10-17h55m39s5012051541922085,3.4039932937562014,0.0000017451881908026907,0.0000050188562590825046
16,64,0.003,0.03,1,2023-05-10-17h55m39s8781372112733346,1726381936996.0967,6.538654728752012e-9,2.2653152020843727e-8
64,256,0.001,0.03,0,2023-05-10-17h55m39s9499773412431985,35617261988595.625,5.057341434517147e-9,0.000003595386875860508
16,64,0.01,1,0,2023-05-10-17h55m40s4634463812919476,4.678265797010345,8.378660950557206e-7,0.000002530741246911508
32,64,0.003,1,0,2023-05-10-17h55m42s16815326781820228,37.553274412439166,3.924634250684041e-7,0.0000012339030867038553
16,256,0.0003,1,0,2023-05-10-17h55m42s5747596765217773,44.98557310285408,5.138819696078281e-7,0.000001415382823047738
64,128,0.01,0.1,1,2023-05-10-17h55m43s48464784228616753,9082626108734.182,1.4313184415442052e-8,3.798462078199293e-8
