embed_size,hidden_size,learning_rate,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
64,32,0.003,1,4,00017429830127635437,128924444677.6005,1.4743223082174592e-7,2007.533365073903
4,32,0.003,0.03,5,00027348736878063384,4322059.83884929,0.026887416287622475,1984.2548779034214
16,32,0.0001,1,1,0005903315672984855,25112362206.99081,0.000001050742419603633,1993.8557164406407
64,8,0.0001,1,2,0008607766686404839,841.6418240947525,44.193796418290965,2001.7404376681184
8,64,0.003,1,5,001004791731659016,352516259.9595192,0.0000401337604134668,1989.1757573569466
32,32,0.001,3,1,0011461233430053452,39.78577612930603,98.87530898834166,1998.480464979874
32,64,0.001,3,3,0015213941008920262,981.5473547911713,5.1713846601146845,1996.963451104169
32,64,0.0001,0.03,2,0017739241451513177,10656888193096.336,2.485189831688905e-9,1996.2791824710298
4,32,0.01,3,5,001901687760952675,2.801777949846381,669.5207951028714,1666.693240190551
16,32,0.003,0.3,1,002127170874017592,791071062752.8766,3.5305118159552687e-8,1989.5517300031352
16,32,0.0003,1,4,0022194891662888905,25095067178.20626,8.036755878966687e-7,1985.9262899197074
32,64,0.01,0.03,3,002258927076167261,9254381326697.852,1.6885326470307808e-9,0.000884076419874833
32,64,0.003,0.3,4,002305112982425417,594675414378.8806,1.978953223424854e-8,0.012428020877064502
32,16,0.003,3,0,0023378179492039575,11.213358310852891,153.87859120167764,1241.39709217883
8,8,0.003,1,6,0025687210612038713,6.152512209326045,164.17382967418143,1002.1664717252386
16,16,0.003,1,4,003007973484893789,121107.65060080409,0.14935179943318133,1984.8226499917
16,8,0.001,0.3,8,003232547015796783,3550.4649456018915,23.140138822436246,1990.4617438021432
16,16,0.01,0.1,8,0032994501747172222,4856142230990.887,1.2426761175257495e-8,1992.5790525255802
16,8,0.001,0.3,0,003518974435517075,1088.0535324730852,49.62796747096873,1995.0731376838828
32,16,0.01,1,7,0035834448108513772,71614227307.29768,4.908777414100216e-7,2001.6278599140276
16,64,0.0003,3,6,0039027406098468553,9.486524622408917,323.0867544041099,1989.7734577640613
16,64,0.003,0.1,2,003932383494150038,2748282049343.439,5.6659392732413985e-9,0.00000252722393987108
4,64,0.01,1,2,004405875561662498,16.842581938355263,11.009335615561975,41.93357468032162
64,64,0.001,0.1,4,00494718684462514,2248690421842.6567,8.000990980724796e-9,1990.9955060021266
4,8,0.0001,3,6,005162126799112987,2.498559486099603,799.5978201437758,1981.7287001888367
32,64,0.01,3,0,005227680841336513,2199.4519852740186,0.0020921978100147606,0.35520782435739073
4,16,0.01,0.3,6,005357082362169141,4070175.696671164,6.913742976383331e-8,0.021272439165519012
32,8,0.0003,1,1,005619666553028924,162.8805755522449,101.058269456072,1996.5127537788608
