embed_size,hidden_size,learning_rate,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
128,128,0.01,0.3,3,0001425395378302774,849157138654.7572,2.9704652070825654e-8,4.269335445829072e-7
64,512,0.001,0.1,7,00042250409082322804,3661634642460.256,8.82326212087441e-9,9.807592781623206e-8
32,64,0.0001,0.1,7,0006038289144200126,6529302291206.501,2.192608561347657e-8,7825.957123512188
8,256,0.0001,1,4,0009128333802853605,1079760807.3273735,6.558491655301728e-7,0.000006938938115573162
128,512,0.001,3,8,0010354781010020186,17020596579.850752,6.018125062648206e-7,0.00001977718936366689
64,512,0.0001,0.03,4,0011152020528321094,15322935560475.002,4.341366599535647e-9,7830.267522055004
32,512,0.01,3,1,0012973698253961885,222.11462835680157,0.0000020950660767905797,0.00002704059031879758
128,1024,0.003,0.03,6,00137657867156471,12512501959377.053,2.567001278204239e-9,2.7023733916856965e-8
64,1024,0.01,0.3,3,0015128748537482917,436521535180.9614,2.8463205569739305e-8,2.637836095930854e-7
32,1024,0.0003,1,2,001556121947038469,158803037765.4029,1.5112658123455575e-7,0.000002906911263414858
32,512,0.01,0.3,3,001739370113042149,232310156006.00906,3.07035614704432e-8,3.670015433051089e-7
16,256,0.003,1,5,0017731729343244407,26423017223.920784,2.11182193036984e-7,0.0000014386862313346077
16,256,0.003,1,7,0021521778616196974,35347323198.43576,2.4323151844186293e-7,0.000003136752796495482
128,1024,0.001,1,3,0023862473194368183,149040570980.01712,1.0700497198691759e-7,0.0000011209944500504899
8,1024,0.0003,0.03,4,002477628685280675,26396213250441.17,3.3766025531084323e-9,7813.763215134788
128,256,0.0001,1,6,0027946894303778613,205138689532.98206,1.2014228921809776e-7,0.0000018201108990301849
32,128,0.0001,3,4,003189611771795775,183.52190916368497,62.85853375158503,7820.24377653217
64,64,0.001,0.3,5,003206838279736224,1323064584358.3772,2.874891724622089e-8,1.416135675304614e-7
64,64,0.003,3,5,0034947943842488227,1754.1645638226296,0.0000037444438393785682,0.00009241880223688457
64,128,0.003,3,4,003684367736116023,32916.86506345864,0.0000015629430842184586,0.000033692697825647895
32,256,0.003,0.3,2,003737814036576026,884061729711.306,3.0503616076869566e-8,2.9566421151519224e-7
64,1024,0.0003,1,1,0037486861921938175,184068392811.19043,1.1832750067761736e-7,0.0000010314837684103567
64,1024,0.003,0.3,7,0037938048774577293,762116498443.7832,2.7393199930135035e-8,1.8060103522489478e-7
16,1024,0.0003,1,1,0038698967486981983,94637848064.46413,1.984154951195031e-7,0.0000039098608536399976
8,64,0.001,0.3,2,003879571273735505,106537609731.33772,4.3212551312981695e-8,1.6054145478884466e-7
128,512,0.001,1,2,003993091395614767,157948894410.65335,1.1284860933777894e-7,9.374036474123045e-7
128,256,0.0003,0.3,6,004253326180942429,965752009488.128,2.7537825352846727e-8,1.9627811440882918e-7
32,256,0.0003,3,4,004296292030355642,30427.81058417137,0.6264723756403408,7821.022589313917
8,256,0.001,3,6,004326684829400906,2.861575509831159,744.0471821782157,1808.4498540703316
32,256,0.0003,3,3,004340651393523465,17813.90899975794,1.2341171160446431,7826.688682270689
32,128,0.0003,0.3,1,004518005372768141,1300112746179.4458,5.6075607932735644e-8,7820.750693502545
16,256,0.01,0.3,5,004832086617947762,561796526257.8824,3.182892327413951e-8,2.424002711654434e-7
32,128,0.01,3,3,005136653395425239,48.20168606605694,0.00010383176800378965,0.001338721481600649
8,64,0.01,1,0,005552970788199385,15.191591485226473,0.0000012751662781241858,0.000006823905348548422
128,64,0.01,0.1,0,005590046082841749,4339548444994.0566,8.99001650894297e-9,7.61917524581537e-8
64,64,0.01,0.03,4,006015368656582476,18412333024396.83,2.49847387223213e-9,1.1963392720843628e-8
64,512,0.01,0.03,3,006026279533946632,13786150143596.904,2.465730952745807e-9,1.5545115417027806e-8
128,1024,0.01,0.03,7,00606162436564095,13466740706460.576,2.6830149213404563e-9,2.805382304174332e-8
16,256,0.0003,0.1,4,006386643226710231,5946866968138.699,1.7462123080637997e-8,7817.117287798558
32,1024,0.01,0.03,8,006406856760237778,17228280842135.729,2.4856803282306988e-9,1.7042348865340327e-8
32,256,0.0003,0.03,5,006419588261386777,17026091912524.861,4.520120722149215e-9,7826.114591174772
128,64,0.0001,0.3,3,006459847867763768,1474001027283.623,6.573533717082475e-8,7873.797987073118
16,1024,0.003,3,8,006647958380547658,414.29233705029395,0.000010210948036757915,0.00007819368387949711
32,256,0.001,0.03,6,006709185464345846,17578816313253.72,4.506732320650918e-9,7828.155333443363
