embed_size,hidden_size,learning_rate,weight_decay,seed,regularization,embed_config,is_collapsed_hidden,is_tied_hidden,is_collapsed_out,is_symmetric_input,slug,maxRatio,minTrainLoss,minEvalLoss
256,256,0.0001,1e-9,4,l1,tied,true,false,false,false,0002562894492091905,334725.6292292691,8.951577355543066e-8,0.000007242597125259731
128,128,0.01,1e-11,5,l1,tied,false,false,false,false,0004016994859395995,277073985.156488,1.2830371299552665e-9,0.042134816558471525
512,512,0.01,1e-9,5,l1,tied,true,false,true,false,000412783747537504,80.56013832885812,0.007632409346143266,0.01792023826783961
128,128,0.001,1e-10,2,l1,tied,true,false,false,false,0004832093826623307,8504327.17185452,8.595821599540982e-9,0.00005604655405855226
32,32,0.0001,1e-11,2,l1,tied,true,true,false,false,0005011027988620631,2006090.0107326442,1.4937272315397138e-9,0.0029965512779511474
32,32,0.001,1e-10,2,l1,tied,false,true,false,false,0005986238388528964,2522687.8786623473,2.696610545385031e-9,2.425074417230369e-7
32,32,0.01,1e-9,8,l1,tied,true,false,false,false,0006056448686525551,31919.029220496745,4.895306942718867e-8,0.000024236353989909572
32,32,0.0001,1e-9,2,l1,tied,true,true,false,false,0008366396901563489,166812.20802662394,9.212888654438143e-8,0.00036589566315076247
32,32,0.0001,1e-9,3,l1,input_tied,false,true,false,false,000874583330793266,558807.087784222,4.3465860663495216e-8,0.0000017332132978531564
32,32,0.001,1e-8,1,l1,input_tied,true,true,true,false,0009625575588901869,3394.3234100875156,0.000004813763636731585,0.000013433247360117076
512,512,0.0001,1e-9,5,l1,input_tied,true,true,false,false,00106063484214991,109448.93949399416,1.59976069457187e-7,0.000027142971263334745
64,64,0.01,1e-8,3,l1,input_tied,true,true,true,false,0010726443297058852,5770.732419777971,0.000004914421435703143,0.000022440743013690093
256,256,0.0001,1e-8,8,l1,tied,false,true,true,false,0011374720422754336,22256.534224793533,6.492230628249524e-7,0.0000186493062266845
128,128,0.01,1e-10,3,l1,tied,false,true,true,false,0013436240759223672,10809866.111438481,4.909679521865595e-9,0.0000053572053387866715
32,32,0.01,1e-10,4,l1,input_tied,true,false,false,false,0013522540649086867,6927693.644412557,6.3940035409617725e-9,0.00004658049065613421
128,128,0.0001,1e-7,4,l1,input_tied,true,false,true,false,001452512608233869,509.9622085904489,0.00006074967849139992,0.000818535727361189
32,32,0.0001,1e-10,4,l1,tied,true,false,false,false,0015417039856800985,1325548.5400604715,6.517730705810652e-9,0.007377130588098067
128,128,0.01,1e-7,5,l1,tied,false,false,true,false,0016325657512578085,5756.589707757882,0.000012378777938979828,0.0007922514175926234
512,512,0.01,1e-10,1,l1,input_tied,true,true,false,false,0016744677071859337,1613693.8512040034,6.511253741415587e-9,0.000001611233128641517
256,256,0.01,1e-8,7,l1,tied,false,true,false,false,0017039538105575458,4.7591276359015025,1.8049201005746677e-7,5.820512987109145e-7
128,128,0.01,1e-10,5,l1,input_tied,false,false,true,false,0017336319450067528,10702880.77007415,2.5386982210601817e-8,0.04202349868700411
128,128,0.01,1e-10,5,l1,input_tied,true,true,true,false,0020194990559208037,1374777.066080234,5.184147433120847e-8,0.0029328160203789594
512,512,0.0001,1e-8,2,l1,input_tied,true,false,false,false,0020471512773871936,6303.434179389567,9.035326951055657e-7,0.0000172626000414739
256,256,0.0001,1e-10,3,l1,tied,true,false,false,false,002053139856445174,4440523.036192263,4.122224745486006e-8,0.042104278670650246
