embed_size,hidden_size,learning_rate,weight_decay,seed,regularization,embed_config,is_collapsed_hidden,is_tied_hidden,is_collapsed_out,is_symmetric_input,slug,maxRatio,minTrainLoss,minEvalLoss
256,256,0.0001,1,3,l2,untied,true,true,true,false,00010051068611993674,1618230999.3574924,0.000048027198756246046,42312.06601300769
128,128,0.001,1,1,l2,input_tied,false,true,true,true,00011692303143606697,216719071.57133788,0.0000011693787981757108,0.00004518923262443742
256,256,0.0001,0.01,7,l2,tied,true,true,true,false,0001411053354064551,5.1867539232701585,4316.504649502637,19659.630967614576
512,512,0.001,0.1,5,l2,input_tied,false,true,false,false,0002361498779793747,2190019905413.1084,1.979027786083216e-8,9.6804132929143e-8
32,32,0.01,0.03,7,l2,tied,false,false,true,false,00024111090724776574,961433453198.0533,1.9105003134979282e-8,0.000003902337685576471
128,128,0.001,0.01,1,l2,input_tied,true,true,true,false,0002531291166940619,1751219033405.494,6.758537374118269e-8,10228.69310032733
32,32,0.001,0.1,4,l2,untied,false,false,true,false,00035614084550805725,442.9263042843853,2191.4636387911883,42312.914415850435
128,128,0.01,0.03,8,l2,input_tied,false,false,true,false,0003692935802641628,8899121077660.465,2.1620839341020213e-8,3.2312717872870445e-7
32,32,0.01,0.01,4,l2,untied,false,true,true,false,0004220155560030747,5025.483253654448,895.6087768450768,42331.75865384633
128,128,0.0001,1,1,l2,untied,true,true,false,false,0004603662940717568,85706342956.27472,0.00000370296888465644,42390.33932972219
128,128,0.001,0.1,2,l2,untied,false,false,true,false,000489567479348807,2212273553149.9746,2.1499635138201456e-7,42317.41242682455
64,64,0.001,0.3,6,l2,input_tied,false,true,true,false,0005031245371466264,79444012583.48683,2.6507939153303567e-7,0.000016893325903589843
64,64,0.001,0.3,3,l2,tied,true,false,true,true,0005250392251390235,2.893246434548097,7859.334205008323,22729.65287944289
64,64,0.01,0.1,0,l2,tied,true,true,true,true,0005460552885621084,3.6150568449103906,5901.567151644473,21127.986643053482
256,256,0.001,0.3,5,l2,input_tied,true,false,false,true,0005687933429914249,210041905711.85464,2.111765142665433e-7,0.00044246855101490304
128,128,0.001,0.1,8,l2,tied,true,true,false,false,0005820594265943946,2484539646852.0664,4.241353890285901e-8,7.829396015794653e-7
32,32,0.0001,1,5,l2,tied,true,true,true,true,0006422103510765886,2.654904473619443,12215.97365753095,32431.33363263432
128,128,0.01,0.01,8,l2,untied,false,true,true,false,0006548072717051934,30055448576668.816,1.4631094114004855e-8,42437.550897487155
64,64,0.001,0.03,7,l2,tied,false,true,true,true,0006629509753656171,871328250904.1821,1.5001037301167268e-8,0.0000883424567693087
256,256,0.0001,0.01,5,l2,input_tied,false,true,false,true,0006804762991080571,45157117341320.12,4.9800412682504545e-9,42358.21643379457
64,64,0.0001,0.1,0,l2,untied,false,true,false,true,0006823563343070216,15360146655171.535,8.698892051011699e-8,42354.99976819003
256,256,0.0001,0.1,0,l2,input_tied,false,false,true,false,0006837385825156916,2221559620162.287,1.917379606147832e-7,42304.218929470524
32,32,0.01,0.01,2,l2,input_tied,true,true,true,false,0007192453494545559,135024475531.45792,9.47937879281752e-8,0.000746740627467645
512,512,0.001,0.1,1,l2,untied,true,true,false,false,0007607446789453798,1637295956542.1565,8.004874119010416e-8,0.001829366357944709
512,512,0.01,0.3,0,l2,tied,true,false,true,true,0007654990348696655,3.7440766415000106,5010.952269194101,18692.69239477516
64,64,0.0001,1,8,l2,untied,false,false,true,true,0007915002500723523,4337866.871072784,0.1210932103257738,42303.744978624
64,64,0.01,0.01,4,l2,untied,true,false,true,true,000799657584362734,3405016049195.487,2.5598160590238427e-7,42380.84183939733
256,256,0.0001,0.3,8,l2,tied,true,false,true,true,0008460753709075286,3.371675174193654,5464.069792867927,18422.98945078671
128,128,0.0001,0.03,6,l2,tied,false,true,false,false,0008798349455605425,16117849574968.387,9.353122498706361e-9,42375.03790243662
512,512,0.001,0.3,5,l2,untied,true,false,true,false,0008856958042444685,47420953494.142685,0.000001831983955412868,0.009792726270107549
32,32,0.0001,0.3,0,l2,untied,false,true,false,true,0009255922856817866,3419326.501101496,1.0867099250269077,42339.693550729186
64,64,0.001,0.1,7,l2,input_tied,true,true,true,true,0009323155948411932,56334851535.66293,8.324479264522756e-7,65.82539884513538
64,64,0.001,0.01,8,l2,input_tied,true,false,true,true,000959201439348023,1259633339108.8457,1.0027002739017578e-7,33873.116098385886
512,512,0.001,0.01,8,l2,input_tied,false,true,true,true,0009708342444703089,10224522165521.234,8.808193507890688e-9,24.837389515441437
512,512,0.0001,0.01,0,l2,untied,false,true,true,false,000980047898081149,20213492590789.176,1.901199109250594e-8,42321.062475725936
128,128,0.01,1,0,l2,untied,false,false,true,true,0009878415815285368,1738267.1553535154,0.0000016208413993289649,0.00018992080082026513
32,32,0.0001,1,4,l2,untied,true,true,true,false,0010334545025301178,6.556137790189287,7275.952009782659,42327.642135214744
128,128,0.001,0.1,7,l2,untied,false,false,false,true,0010893473858297753,6991748250861.5625,2.5028095595904253e-8,9.6523751435047e-8
256,256,0.01,0.1,1,l2,untied,true,true,true,false,0011173064928585719,160376680624.65543,6.02722894431356e-7,0.19780089588450095
512,512,0.01,0.01,7,l2,tied,false,false,false,false,0012086102869479642,79039381315151.78,1.3900764983529191e-9,4.429786315539254e-9
128,128,0.01,0.01,5,l2,input_tied,true,true,true,false,0012591906648136142,1326993497266.8384,5.177827477841104e-8,31.313736763582845
64,64,0.0001,0.1,5,l2,input_tied,false,true,false,false,0012767831817956932,952797929584.654,2.5299303318747823e-8,0.00008345443550702431
64,64,0.01,1,2,l2,input_tied,false,true,false,true,001324066398876611,104.77298221547784,3.2009549675426683e-7,0.0000014099581601131305
128,128,0.001,0.03,1,l2,input_tied,true,false,false,true,0013493522388816626,6310104992342.705,2.161176215755275e-8,0.000986350735831944
64,64,0.01,0.03,7,l2,untied,true,true,false,false,0013502980827938549,13629251695161.084,5.4514275315640276e-8,42451.124880088355
256,256,0.001,0.3,5,l2,input_tied,false,false,false,true,0014614232910330482,1533989060744.281,6.597515089736915e-8,2.273797718962298e-7
256,256,0.001,0.03,0,l2,input_tied,false,true,false,true,0014786154481206681,12265414429839.328,5.624829046972193e-9,4.2645348584941817e-8
256,256,0.001,0.1,8,l2,input_tied,false,false,false,true,0014946349715390106,5732777344458.45,2.0833223368585355e-8,7.014939629139507e-8
256,256,0.001,0.03,0,l2,untied,true,false,false,false,001499319176227254,7446631411346.648,4.342945070208552e-8,42402.58510705356
64,64,0.01,1,7,l2,input_tied,false,false,false,false,0015572153312140014,6338.906652173829,3.5384290495586514e-7,0.0000016529032522773262
64,64,0.01,1,2,l2,input_tied,true,false,false,false,001573574084422713,98199.02262508713,0.000002069165180271974,0.004361673130406212
64,64,0.001,0.03,0,l2,tied,true,false,true,true,0015859548413644786,5.179244984756468,4887.637443774589,20805.834058626744
512,512,0.0001,0.3,5,l2,untied,true,false,true,false,001612252813896431,53897965576.302505,0.0000030329700738347164,27742.549573032913
128,128,0.0001,0.03,7,l2,tied,false,true,false,false,001634962613718205,18475861272428.918,8.527879513650214e-9,38270.75467642066
256,256,0.0001,0.01,2,l2,tied,false,true,false,false,001678152138980482,52813984763966.75,3.5728575653572864e-9,42486.08322137901
256,256,0.0001,0.3,7,l2,tied,true,true,false,false,0017146162939263299,711103870095.476,1.6734952600942756e-7,0.00013732235234066857
512,512,0.01,0.03,7,l2,untied,true,true,true,false,001769176634041969,624366410835.4889,1.5900855920501684e-7,0.002943358465836523
