train_size,hidden_size,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
2000,4,0.1,6,00048377449945835593,1.0757655519414604,0.09637268632650375,0.0922989472746849
1250,8,0.1,5,0005246785600787618,1.9771460760413528,1.1920930376163597e-7,1.195311796209353e-7
2000,16,0.03,3,0007333802333583384,7.899014176157551,1.1920930376163597e-7,1.1920930376163597e-7
1250,20,0.03,2,0011180742113890973,33949.043074398185,1.1920930376163597e-7,1.196503802702864e-7
1500,8,0.3,2,0012965669284815684,1.0521942124474168,0.5298047065734863,0.5195577144622803
1750,12,0.3,6,0028546431752006773,1.4956677470530748,1.1965208557285223e-7,1.2481214639592508e-7
2000,16,1,3,003137159813004886,1.4076998558354352,0.18159952759742737,0.18714937567710876
1500,16,0.01,0,0033489145730917214,38377.838899283845,1.1920930376163597e-7,0.000004950873972120462
1750,4,0.1,6,00398735960035923,1.0659867207734401,0.3382596969604492,0.3521224558353424
1250,20,0.01,5,005668105010452673,265102.39911369537,1.1920930376163597e-7,0.000911333947442472
1250,12,0.01,3,006406093458530715,24.73609114793613,1.1920930376163597e-7,1.34694602138552e-7
1500,20,0.3,7,006818067864209798,2.774075256512428,1.1920930376163597e-7,1.387716537237793e-7
1500,20,0.01,4,007980431524126641,2084.6562135421914,1.1920930376163597e-7,4.302349623230839e-7
1250,20,0.1,1,008726824768426567,9960.969515684901,1.1920930376163597e-7,1.1920930376163597e-7
2000,16,0.01,8,008952487551455945,1286.1734257108828,1.1920930376163597e-7,1.4767661582482106e-7
1250,12,0.03,5,01058040945616645,139.2682864594566,1.1920930376163597e-7,1.498345625350339e-7
1750,16,0.03,7,01177284868629791,192.04452514648438,1.1920928955078125e-7,1.1951925671382924e-7
1250,20,0.3,5,01218794637167453,5.111702075922007,1.194000276427687e-7,1.3927237318966945e-7
2000,12,0.1,4,012336246291934638,1.5806964428527466,1.1920930376163597e-7,1.1920930376163597e-7
1500,20,1,7,01302767898231949,1.6454346263236603,0.2422148436307907,0.3781726658344269
1250,20,1,1,014276887389464199,1.8590192747952001,0.2550119161605835,0.3429184854030609
1750,4,0.3,5,015095100606057565,1.1474384215752076,0.08464571088552475,0.08676933497190475
1750,4,0.1,4,015277044030356124,1.1189434325380807,0.24360036849975586,0.262434720993042
1750,12,0.03,6,01535805399918444,17060.14468588685,1.1920928955078125e-7,1.1920930376163597e-7
1250,4,0.01,5,015451247841283933,1.6790053535224962,0.15082894265651703,0.1806342750787735
1500,4,1,1,017612856933370225,1.0983794274375323,0.5605734586715698,0.5666254758834839
1250,20,0.3,2,019229024231172676,3.1559922323510343,1.1920930376163597e-7,1.2660031245559367e-7
