n,k,train_size,hidden_size,weight_decay,w_init_scale,seed,slug,maxRatio,minTrainLoss,minEvalLoss
30,3,1500,32,0.001,1,4,0009766484851123636,235535.14379702284,1.1920930376163597e-7,0.016178984194993973
30,3,250,16,0.00001,1,3,001220679172915351,62011988.60759489,1.1920930376163597e-7,0.7003418803215027
30,3,2000,32,0.01,1,1,0033676262145173608,48505.58796768332,1.1920930376163597e-7,0.0000014060149169381475
30,3,250,64,0.1,1,1,0041809857235618475,62846052.50816673,1.1920930376163597e-7,0.7007209062576294
30,3,2000,64,0.00001,1,5,004466894474974392,491142.6914512287,1.1920930376163597e-7,0.03719732537865639
30,3,2000,32,0.1,1,8,004558977737030179,181.61834077616444,1.1920930376163597e-7,1.1920930376163597e-7
30,3,2000,128,0.01,1,5,00494284468364159,2317513.4737308654,1.1920930376163597e-7,0.0539628267288208
30,3,250,32,0.001,1,8,007042969104593455,63186852.46754021,1.1920930376163597e-7,0.699720025062561
30,3,2000,64,0.1,1,7,008192692453691253,14962.60942016518,1.1920930376163597e-7,1.1920930376163597e-7
30,3,500,16,0.001,1,8,009557081471501694,17730675.886338726,1.1920930376163597e-7,0.6932951211929321
30,3,1500,64,0.001,1,2,010423789304641162,10789419.71380094,1.1920930376163597e-7,0.6388475298881531
30,3,1500,128,0.001,1,8,0114724215095654,8264683.014773009,1.1920930376163597e-7,0.3397291898727417
30,3,2000,16,1,1,0,012894219559107967,1.3717655959679425,0.19604966044425964,0.20328456163406372
30,3,500,128,1,1,7,013289656746211853,39620307.27689132,1.1920930376163597e-7,0.7005791664123535
30,3,500,16,0.1,1,8,013386237982381921,47181122.37557192,1.1920930376163597e-7,0.000005595542916125851
30,3,250,32,0.01,1,7,015079604104039634,61534652.66449777,1.1920930376163597e-7,0.7002010345458984
30,3,1500,32,1,1,3,01552698217248949,2.498914581756274,0.04311841353774071,0.0520407073199749
30,3,1500,32,1,1,8,015562717712436225,2.5044046437792087,0.08789277076721191,0.1593627631664276
30,3,2000,128,0.1,1,3,0172204599545851,4207751.9983968735,1.1920930376163597e-7,1.1920930376163597e-7
30,3,2000,16,0.001,1,8,01779262816891458,8056.936539538319,1.1920930376163597e-7,0.000004572881607600721
30,3,1000,32,0.01,1,0,017868697438904624,26324300.861898795,1.1920930376163597e-7,0.7033669948577881
30,3,500,8,0.0001,1,0,018383544800074647,13.152722823585103,0.24578411877155304,0.6951035857200623
30,3,1500,128,0.00001,1,6,01891988781747833,14736246.243302554,1.1920930376163597e-7,0.6507875919342041
30,3,2000,32,0.0001,1,6,019462991425831633,20108.960058203433,1.1920930376163597e-7,0.0016121850349009037
30,3,1500,16,1,1,5,020031866735549575,1.3762665728805912,0.24463887512683868,0.26619088649749756
30,3,1000,128,0.00001,1,8,020633249801119913,41549011.04697191,1.1920930376163597e-7,0.7059096693992615
30,3,500,32,0.00001,1,2,0215378802831655,56848869.223086685,1.1920930376163597e-7,0.7049473524093628
30,3,500,64,0.01,1,1,022654720270112616,60741508.759047896,1.1920930376163597e-7,0.7012297511100769
