n,k,train_size,hidden_size,weight_decay,w_init_scale,seed,slug,maxRatio,minTrainLoss,minEvalLoss
30,3,750,32,0.1,3,5,00010845914450019478,32255684.154822808,1.1920930376163597e-7,1.251578538585818e-7
30,3,1000,32,0.03,0.3,5,000442044374699746,32501802.12548326,1.1920930376163597e-7,0.0018928786739706993
30,3,750,32,0.1,10,5,0005219019853032192,42585818.92337478,1.1920930376163597e-7,1.6083718890058663e-7
30,3,1750,32,1,10,1,0008179466692710413,1.924234651050454,0.0520508848130703,0.05584089085459709
30,3,1250,32,0.01,0.1,2,0011358960493420556,12725121.483047308,1.1920930376163597e-7,0.32780003547668457
30,3,1250,32,0.03,10,8,0012339148619071594,9216557.258761514,1.1920930376163597e-7,4.232192907238641e-7
30,3,1500,32,0.3,3,8,002527700241411135,7334.970286484851,1.1920930376163597e-7,1.541137919502944e-7
30,3,750,32,0.03,0.3,1,00306854676151036,53116969.66796378,1.1920930376163597e-7,0.6966572999954224
30,3,1250,32,1,1,7,0031086621145137716,2.9963669839300535,0.1218942329287529,0.30330777168273926
30,3,750,32,0.01,0.3,0,0033880259236819255,48653002.200110175,1.1920930376163597e-7,0.6977553367614746
30,3,1750,32,0.03,1,8,0035607345514400146,41294.7578125,1.1920928955078125e-7,1.1936428734315996e-7
30,3,1000,32,0.01,10,8,003974358730145289,38567211.40243013,1.1920930376163597e-7,0.7246859669685364
30,3,750,32,0.1,10,0,004792001958637271,48193642.25487015,1.1920930376163597e-7,2.0638708519982174e-7
30,3,1000,32,0.1,0.1,1,004962402499985474,38332931.43035848,1.1920930376163597e-7,1.341700794910139e-7
30,3,1000,32,0.3,3,4,0052823814995196505,1790227.4904245527,1.1920930376163597e-7,2.696037597615941e-7
30,3,1250,32,0.01,1,4,005298422839350336,679027.1778262377,1.1920930376163597e-7,0.004923536442220211
30,3,1250,32,0.3,3,1,0054539718806808635,1219295.916224683,1.1920930376163597e-7,2.3245814873007475e-7
30,3,750,32,1,3,2,006203732089213543,10.469018234761446,0.09398559480905533,0.7193593978881836
30,3,1250,32,0.03,0.1,7,006239995769902196,6432841.495174139,1.1920930376163597e-7,4.53688670631891e-7
30,3,1500,32,0.01,0.3,5,007609669391010376,95549.80892207516,1.1920930376163597e-7,0.00020213579409755766
30,3,1250,32,0.1,3,6,008918352285128828,115954.23895016548,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1750,32,0.01,3,7,009835936083831931,106820.609375,1.1920928955078125e-7,0.000019099901692243293
30,3,1000,32,1,0.1,0,011007943708372658,5.09576061935539,0.11148527264595032,0.5471113920211792
30,3,750,32,0.3,10,3,011410032043764562,36327731.669396915,1.1920930376163597e-7,0.7525257468223572
30,3,1250,32,1,3,7,012170997371791836,2.34531866441888,0.10722944140434265,0.23684130609035492
30,3,1500,32,0.03,3,8,01260591840439862,1071526.5856994311,1.1920930376163597e-7,1.5354157767433207e-7
30,3,1750,32,0.03,3,7,012611416366536732,78179.42627086982,1.1920928955078125e-7,1.1959077994561085e-7
30,3,1000,32,0.03,0.1,4,012964593069134889,17746231.884484306,1.1920930376163597e-7,0.000003617673655753606
30,3,1000,32,0.3,1,4,01332848032416245,263267.0174960948,1.1920930376163597e-7,4.727483542410482e-7
30,3,750,32,0.03,10,1,013545194513134629,46228250.4891631,1.1920930376163597e-7,0.24448765814304352
30,3,1500,32,0.01,1,2,013894451217520976,1204187.6656590437,1.1920930376163597e-7,0.007791853044182062
30,3,1500,32,0.1,3,7,014279007121816178,1766.5646505438658,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1250,32,0.1,3,4,014979551203031072,25014.611775883244,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1500,32,0.01,0.3,6,016098544866782305,117555.43911129962,1.1920930376163597e-7,0.00019364827312529087
30,3,750,32,0.3,1,6,016166889081573932,46731674.42915029,1.1920930376163597e-7,0.7117080688476562
30,3,1750,32,1,3,0,016321361726289396,2.3563690743870698,0.04067381098866463,0.045398347079753876
