n,k,train_size,hidden_size,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
30,3,250,128,0.001,8,0005800088648376667,21.09390094038535,0.3840230405330658,3.8452205657958984
30,3,1000,64,0.1,1,0008107591244973511,48575966.20929358,1.1920930376163597e-7,0.00006192966247908771
30,3,500,128,0.00001,2,0012322600160452613,244.7532442617655,0.03188489004969597,1.4110651016235352
30,3,2000,128,0.00001,7,0019215170547183247,6525761.722068582,1.1920930376163597e-7,1.1920931797249068e-7
30,3,2000,16,0.0001,7,0019236024634176063,239854.94015706299,1.1920930376163597e-7,1.1920931797249068e-7
30,3,500,64,1,3,0023179921160585426,22669769.297552906,1.1920930376163597e-7,0.8321502208709717
30,3,2000,128,0.01,1,002974410335097044,31071926.295937743,1.1920930376163597e-7,1.1920931797249068e-7
30,3,2000,128,0.1,0,003387941907240122,19270415.702787437,1.1920930376163597e-7,1.1920931797249068e-7
30,3,1000,64,0.1,3,0035002194001942932,55281957.40987713,1.1920930376163597e-7,0.000010644230314937886
30,3,500,32,0.1,6,003631445714552539,59876436.8621725,1.1920930376163597e-7,0.8351927399635315
30,3,1500,8,0.01,6,005459355874903871,96484.67599813032,1.1920930376163597e-7,1.1920931797249068e-7
30,3,1000,64,0.00001,4,006652600164549383,64308520.33382698,1.1920930376163597e-7,0.7515940070152283
30,3,500,128,0.01,4,006773868414450046,65317372.213562466,1.1920930376163597e-7,1.3724603652954102
30,3,500,16,0.00001,0,007378681884744331,62674248.52864736,1.1920930376163597e-7,0.8369764089584351
30,3,1500,32,0.00001,4,007897058599117268,38936679.358386114,1.1920930376163597e-7,0.05546797811985016
30,3,1500,128,0.01,4,008925234997860687,61174744.70740215,1.1920930376163597e-7,0.7769089937210083
30,3,1000,16,1,4,008953344080128933,20021.972222569915,1.1920930376163597e-7,0.00004054969031130895
30,3,500,16,0.0001,5,00937136879472078,62019348.60671751,1.1920930376163597e-7,0.7582312822341919
30,3,1000,32,0.001,1,0094120595642454,62674556.52861065,1.1920930376163597e-7,0.7581697106361389
30,3,250,32,0.01,3,012406741445235014,59.19377535507945,0.12894488871097565,1.6936266422271729
30,3,1000,16,0.01,7,012412328920188398,51863685.81736686,1.1920930376163597e-7,0.24423854053020477
30,3,2000,64,1,1,012678775567215639,4182753.501376927,1.1920930376163597e-7,0.000010948723684123252
30,3,1000,64,0.0001,3,013238458370487649,58516397.02430189,1.1920930376163597e-7,0.7756689190864563
30,3,2000,16,1,2,01325801923186165,8813.383714987789,1.1920930376163597e-7,0.00001126236020354554
30,3,1000,64,0.001,5,01361412301022813,64183344.348749116,1.1920930376163597e-7,0.7781348824501038
30,3,1500,16,0.01,2,014751243829266736,762033.5966585163,1.1920930376163597e-7,1.1920931797249068e-7
30,3,500,64,0.00001,4,01846939022824634,27.647006231050824,0.28766587376594543,2.3477931022644043
30,3,1000,128,0.00001,4,018531965458966848,474.5117675222974,0.01594250276684761,0.7988958358764648
30,3,1000,64,0.1,6,018744093652009464,58941784.973591685,1.1920930376163597e-7,0.00005687520751962438
30,3,2000,16,1,8,019071190151579875,7878.593787360932,1.1920930376163597e-7,0.00000701162116456544
30,3,2000,128,0.1,5,019241881639706304,3833468.2930149683,1.1920930376163597e-7,1.1920931797249068e-7
30,3,1500,32,0.001,1,020518095809421877,7335658.625521347,1.1920930376163597e-7,1.1920931797249068e-7
30,3,1500,8,0.001,2,02053639325527079,6.141393172112521,0.46121832728385925,0.716016948223114
30,3,1000,16,0.01,6,020903141088396526,33678287.985235214,1.1920930376163597e-7,0.26243454217910767
30,3,1000,8,0.0001,3,02245647707985232,422411.73089459765,1.1920930376163597e-7,1.1920931797249068e-7
30,3,2000,16,0.001,7,022534902936905077,209743.56874661817,1.1920930376163597e-7,1.1920931797249068e-7
30,3,250,64,0.00001,0,022735462854044264,65788380.15741394,1.1920930376163597e-7,2.2866575717926025
30,3,1000,128,0.00001,6,022840285415365313,53195133.658645906,1.1920930376163597e-7,0.776887834072113
30,3,1500,32,1,0,022889494557014833,30416.8401240301,1.1920930376163597e-7,0.000007703672054049093
30,3,1000,128,0.1,1,023348304993408897,51760081.82971742,1.1920930376163597e-7,0.00007903489313321188
30,3,1000,64,0.00001,2,024913743364532115,61792020.63381712,1.1920930376163597e-7,0.7557279467582703
30,3,250,128,0.0001,8,02731628471668046,125.48884866361438,0.06376966089010239,2.2738254070281982
30,3,2000,8,0.001,1,028927449092144508,203373.39763100175,1.1920930376163597e-7,1.1920931797249068e-7
30,3,250,16,0.1,0,02987758556539921,60800568.752007395,1.1920930376163597e-7,1.1612969636917114
30,3,1500,8,0.1,6,030847578384816998,315166.5249292225,1.1920930376163597e-7,0.000001287018108087068
30,3,2000,64,0.01,0,03290522084092018,4534493.459446256,1.1920930376163597e-7,1.1920931797249068e-7
30,3,1000,32,0.01,1,03324051729980548,44540622.69034401,1.1920930376163597e-7,0.13784539699554443
30,3,1500,64,0.01,6,03445041149985406,43468098.81819882,1.1920930376163597e-7,0.0014179006684571505
30,3,1000,16,0.00001,3,03706415119946205,3319422.3542940193,1.1920930376163597e-7,0.00002049130307568703
30,3,2000,8,0.01,0,03919552373942958,92038.67652813476,1.1920930376163597e-7,1.1920931797249068e-7
30,3,500,16,1,5,039253391841084784,3209.8327245899172,0.0015350095927715302,0.7403906583786011
30,3,1500,64,0.00001,4,040628398778818964,40914751.122581586,1.1920930376163597e-7,0.057852089405059814
30,3,250,64,0.001,3,04129079074122011,61.46144037457743,0.12824204564094543,2.5459892749786377
30,3,500,8,0.0001,7,04177773174245836,57612949.132001266,1.1920930376163597e-7,0.7284256219863892
30,3,500,8,0.01,4,04307471337461699,965942.7902274409,0.000007606633516843431,0.8037917613983154
30,3,1000,8,0.0001,6,0443167095988406,5.986806775326465,0.4641609191894531,0.7423827648162842
30,3,1500,16,0.1,3,044353509074785524,235715.2844005484,1.1920930376163597e-7,1.1920931797249068e-7
30,3,250,16,0.0001,6,04473519076243504,65614220.17817543,1.1920930376163597e-7,1.242389440536499
30,3,250,8,0.1,8,044879354948513694,383.6823017580826,0.016081422567367554,0.8173878192901611
30,3,500,64,0.00001,3,04530427288752337,65438424.19913194,1.1920930376163597e-7,1.1997406482696533
30,3,250,64,0.0001,7,04554547679450949,66163292.11272095,1.1920930376163597e-7,2.7447004318237305
30,3,1500,16,0.001,6,04612177219793534,1852367.779180553,1.1920930376163597e-7,1.1920931797249068e-7
30,3,500,8,0.01,3,04624007011507192,311.8342046106325,0.02204381674528122,0.7238546013832092
30,3,250,64,0.001,2,046745731479161834,65036284.24707076,1.1920930376163597e-7,2.5791473388671875
30,3,1000,128,1,1,04951567778278754,1982487.7632787703,1.1920930376163597e-7,0.00008332615107065067
30,3,250,8,0.00001,3,04951648853974533,63292592.45493502,1.1920930376163597e-7,1.1289420127868652
30,3,2000,64,0.001,5,049719348972152355,8999820.927137742,1.1920930376163597e-7,1.1920931797249068e-7
30,3,500,8,0.1,7,04998388766135331,1992.3374157612882,0.0033521740697324276,0.7639569640159607
30,3,500,64,0.001,4,05075818174590763,64527200.307758294,1.1920930376163597e-7,1.1006006002426147
30,3,1500,16,0.00001,5,051214539455871955,129590.50798910762,1.1920930376163597e-7,1.1920931797249068e-7
30,3,250,64,0.00001,7,051285821766739015,123.01180217031882,0.06376966089010239,2.3084206581115723
30,3,1000,16,0.00001,6,051580938311550195,16262606.061346285,1.1920930376163597e-7,0.14055870473384857
30,3,1000,16,0.001,8,05172519992037716,771859.9079871287,1.1920930376163597e-7,1.1920931797249068e-7
30,3,500,64,0.0001,0,052752776422429926,66270164.099980816,1.1920930376163597e-7,0.8472960591316223
30,3,250,128,0.1,1,053462272101766906,52338953.76071051,1.1920930376163597e-7,2.5648767948150635
30,3,250,64,0.01,8,05528478756631905,114.28212670857181,0.0644725039601326,2.141753673553467
30,3,250,16,1,0,055515818603178335,44628622.679853596,1.1920930376163597e-7,0.7643883228302002
30,3,1000,8,0.00001,3,05571163396461454,1919246.1462080304,1.1920930376163597e-7,1.1920931797249068e-7
30,3,500,32,0.001,7,05847599899320388,64869220.26698634,1.1920930376163597e-7,0.9829515814781189
30,3,2000,16,0.001,4,05925667334318696,145410.43579072526,1.1920930376163597e-7,1.1920931797249068e-7
30,3,500,16,0.01,0,059737850483008614,60505204.78721752,1.1920930376163597e-7,0.8007321357727051
30,3,1500,32,1,3,06010859902512877,23227.81363727884,1.1920930376163597e-7,0.000019912533389288
30,3,500,128,0.01,2,060946945460858326,236.1161471195615,0.03223631531000137,1.1946626901626587
30,3,2000,32,0.0001,8,06190573388511178,253113.20420155476,1.1920930376163597e-7,1.1920931797249068e-7
30,3,2000,32,0.01,6,062458232261732305,861760.8347701031,1.1920930376163597e-7,1.1920931797249068e-7
30,3,2000,32,0.001,5,0627554810565697,229321.97266269056,1.1920930376163597e-7,1.1920931797249068e-7
30,3,250,16,0.00001,4,0628514207826516,65319832.21326921,1.1920930376163597e-7,0.8202013969421387
30,3,500,16,0.001,7,06330001109003625,60203324.82320442,1.1920930376163597e-7,0.7373947501182556
30,3,500,64,1,5,06359900098726945,52561501.73418072,1.1920930376163597e-7,0.7633228898048401
30,3,1500,128,0.01,7,06397444495468829,51720849.83439424,1.1920930376163597e-7,0.0003352927742525935
30,3,1000,128,0.0001,2,06614568244778629,95.10094207116575,0.016118215397000313,0.3107507526874542
30,3,1500,128,0.001,0,06749707656140702,52048669.79531505,1.1920930376163597e-7,0.771416425704956
30,3,250,32,0.00001,1,06906982929109517,60.79737825578576,0.12824206054210663,1.4880152940750122
30,3,500,64,0.0001,3,06995997856158365,65951560.13796137,1.1920930376163597e-7,1.1902503967285156
30,3,2000,64,0.01,8,06997982600049368,36325815.66962532,1.1920930376163597e-7,0.0001965039555216208
30,3,1000,128,0.001,4,07274400685895743,59439876.9142145,1.1920930376163597e-7,0.8084020614624023
30,3,250,128,0.00001,0,07286117309393425,31.185842036028752,0.2557811141014099,4.287219047546387
30,3,500,8,1,0,07289280163511536,48.74821321144802,0.10373106598854065,0.7450838088989258
30,3,500,64,0.00001,1,07295403794024702,239.96942878901515,0.03223631531000137,1.630495548248291
30,3,2000,32,0.01,4,07308288691371012,603183.2405949545,1.1920930376163597e-7,1.1920931797249068e-7
30,3,250,64,1,1,07310305131031303,54817017.465302296,1.1920930376163597e-7,1.107088327407837
30,3,1500,32,0.1,4,07370498888469745,15995665.962020054,1.1920930376163597e-7,0.000014239692063711118
30,3,1500,8,1,7,07431537361024365,3086.603880095019,1.1920930376163597e-7,0.00003077257497352548
30,3,500,128,0.01,3,07484908274950719,241.35869121017544,0.03188489004969597,1.5690020322799683
30,3,500,128,0.01,6,07627171734584404,64946748.25774428,1.1920930376163597e-7,1.6270196437835693
30,3,500,128,0.001,8,07998448912610212,231.39691238556682,0.03188489004969597,1.1203994750976562
30,3,250,32,0.001,3,08085625708821087,123.40623241986026,0.06376966089010239,1.6125047206878662
30,3,2000,32,1,1,08204855417123813,21715.52670818249,1.1920930376163597e-7,0.0000026627344595908653
30,3,250,128,0.001,0,08325757173309989,60.16639445842516,0.12753920257091522,2.10249924659729
30,3,1000,16,0.01,2,0834631754015911,55696229.360492066,1.1920930376163597e-7,0.7537649273872375
30,3,1000,16,0.001,0,08361995361878138,59051068.960564025,1.1920930376163597e-7,0.7323195934295654
30,3,250,128,0.001,6,08364978274072765,66015148.13038109,1.1920930376163597e-7,1.9756686687469482
30,3,1500,32,0.01,0,08370895345453055,5683279.32250031,1.1920930376163597e-7,1.1920931797249068e-7
30,3,1000,128,0.001,0,08397504807386269,62976852.492574155,1.1920930376163597e-7,0.8271765112876892
30,3,500,32,0.1,7,08442065864921677,59637264.89068402,1.1920930376163597e-7,1.0277725458145142
30,3,1000,32,0.0001,4,08547796722409595,57521217.14293657,1.1920930376163597e-7,0.7266754508018494
30,3,2000,16,0.01,5,08575551807158599,503829.00243890256,1.1920930376163597e-7,1.1920931797249068e-7
30,3,1000,8,0.1,8,08629210585446623,1325795.8419528196,1.1920930376163597e-7,0.0000026518212052906165
30,3,1000,64,0.01,5,08638728146318075,61134736.71217147,1.1920930376163597e-7,0.7877103686332703
30,3,250,128,1,7,08740092334111771,55691609.36104281,1.1920930376163597e-7,1.094361424446106
30,3,1500,128,0.00001,4,08753380040977488,49480098.101512656,1.1920930376163597e-7,0.16201776266098022
30,3,500,32,0.01,2,08806571445691569,63353540.447669454,1.1920930376163597e-7,0.745288610458374
30,3,500,32,0.00001,6,08816993203611145,239.94225416713422,0.032236311584711075,1.5477042198181152
30,3,500,128,0.01,8,08942185611417708,245.08886965425032,0.03223631531000137,1.5866268873214722
30,3,1500,16,0.00001,2,09007064903338324,142509.42051155324,1.1920930376163597e-7,1.1920931797249068e-7
30,3,250,64,0.1,3,09057981196865272,94.5655909333642,0.0644725039601326,1.9768848419189453
30,3,2000,32,0.0001,3,09169076874433901,216431.8335743149,1.1920930376163597e-7,1.1920931797249068e-7
30,3,500,32,1,2,0930336100082707,17953739.859747425,1.1920930376163597e-7,0.4867689311504364
30,3,1000,8,0.01,6,09315770771542531,7.01277335389802,0.42808106541633606,0.7345343232154846
30,3,1000,32,0.0001,0,09469324237840482,62947200.49610895,1.1920930376163597e-7,0.8066776990890503
30,3,1500,8,0.1,3,09495387934815824,113675.98644876642,1.1920930376163597e-7,0.0000011419087968533859
30,3,250,128,0.01,7,09518417854542938,40.63489584056843,0.19201157987117767,2.842078685760498
30,3,250,64,0.01,3,09637930805031736,40.810185167286456,0.19271442294120789,2.1621224880218506
30,3,1000,128,0.0001,5,09685667437858503,63383988.44403977,1.1920930376163597e-7,0.8169348835945129
30,3,250,32,0.00001,5,09737389345979897,119.93110739848473,0.0644725039601326,1.7681188583374023
30,3,1000,128,0.01,0,09777410576129153,51991313.80215242,1.1920930376163597e-7,0.00798065960407257
30,3,250,32,0.00001,3,09791282902676568,119.8228376907772,0.0644725039601326,1.7439420223236084
30,3,1000,32,0.0001,6,09851685240673991,55800237.348093346,1.1920930376163597e-7,0.7422376275062561
30,3,250,16,0.1,3,09882040932240233,61263128.69686595,1.1920930376163597e-7,0.9856098294258118
30,3,500,16,0.001,0,09882966572742824,59472644.91030825,1.1920930376163597e-7,0.7412464022636414
30,3,250,64,1,0,09975101531087116,54062713.555222325,1.1920930376163597e-7,1.1747004985809326
30,3,2000,64,0.1,7,09980167416921115,17117011.959493164,1.1920930376163597e-7,0.000004030615855299402
30,3,250,8,0.01,7,10194436208179103,61700656.64470856,1.1920930376163597e-7,0.9448003172874451
30,3,500,64,0.00001,2,10231607217480998,65531984.18797872,1.1920930376163597e-7,0.8625369668006897
30,3,500,64,1,8,10321468999708683,23144827.240921587,1.1920930376163597e-7,0.5288743376731873
30,3,1000,16,0.00001,0,10337569281488102,9696118.844132561,1.1920930376163597e-7,1.1920931797249068e-7
30,3,1500,128,0.001,8,10508979695425102,28017156.66009466,1.1920930376163597e-7,1.1920931797249068e-7
30,3,1500,128,1,4,10514545675691611,16735160.005013466,1.1920930376163597e-7,0.00003225152613595128
